"tablename","argumentno","argumentname","semantictype","score","direction"
"weather1",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather1",1,"column58","PR-Humidity",0.633333333333333,"OUT"
"weather1",2,"column310","CT-TemperatureF",0.270356233333333,"OUT"
"weather1",3,"column313","CT-TemperatureF",0.270356233333333,"OUT"
"weather1",4,"column324","CT-TemperatureF",0.270356233333333,"OUT"
"weather1",5,"column336","PR-Sky",0.4,"OUT"
"weather1",6,"column494","CT-VisibilityFeet",0.25,"OUT"
"weather1",7,"column1316","CT-PressureInches",0.208333333333333,"OUT"
"weather1",8,"column2340","PR-WindDirection",1,"OUT"
"weather2",0,"Name","PR-ZipCode5Digit",-1,"IN"
"weather2",1,"column15","PR-Sky",0.3,"OUT"
"weather2",2,"column16","CT-TemperatureF",0.270356233333333,"OUT"
"weather2",3,"column19","CT-TemperatureC",0.166666666666667,"OUT"
"weather2",4,"column25","PR-Humidity",0.766666666666667,"OUT"
"weather2",5,"column26","PR-WindDirection",0.177083333333333,"OUT"
"weather2",6,"column29","CT-TemperatureF",0.209196655952381,"OUT"
"weather3",0,"pands","PR-ZipCode5Digit",-1,"IN"
"weather3",1,"column33","PR-WindDirection",0.833333333333333,"OUT"
"weather3",2,"column35","PR-Sky",0.35,"OUT"
"weather3",3,"column39","PR-Humidity",0.766666666666667,"OUT"
"weather3",4,"column41","CT-PressureInches",0.125,"OUT"
"weather3",5,"column77","CT-TemperatureF",0.360474977777778,"OUT"
"weather3",6,"column80","CT-TemperatureF",0.360474977777778,"OUT"
"weather3",7,"column83","CT-TemperatureF",0.360474977777778,"OUT"
"weather4",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather4",1,"column57","PR-Humidity",0.666666666666667,"OUT"
"weather4",2,"column309","CT-TemperatureF",0.270356233333333,"OUT"
"weather4",3,"column312","CT-TemperatureF",0.270356233333333,"OUT"
"weather4",4,"column323","CT-TemperatureF",0.270356233333333,"OUT"
"weather4",5,"column335","PR-Sky",0.4,"OUT"
"weather4",6,"column493","CT-VisibilityFeet",0.25,"OUT"
"weather4",7,"column1315","CT-PressureInches",0.208333333333333,"OUT"
"weather4",8,"column2339","PR-WindDirection",1,"OUT"
"weather5",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather5",1,"column58","PR-Humidity",0.666666666666667,"OUT"
"weather5",2,"column310","CT-TemperatureF",0.270356233333333,"OUT"
"weather5",3,"column313","CT-TemperatureF",0.270356233333333,"OUT"
"weather5",4,"column324","CT-TemperatureF",0.270356233333333,"OUT"
"weather5",5,"column336","PR-Sky",0.4,"OUT"
"weather5",6,"column494","CT-VisibilityFeet",0.25,"OUT"
"weather5",7,"column1316","CT-PressureInches",0.208333333333333,"OUT"
"weather5",8,"column2340","PR-WindDirection",1,"OUT"
"weather6",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather6",1,"column57","PR-Humidity",0.683333333333333,"OUT"
"weather6",2,"column309","CT-TemperatureF",0.270356233333333,"OUT"
"weather6",3,"column312","CT-TemperatureF",0.270356233333333,"OUT"
"weather6",4,"column323","CT-TemperatureF",0.270356233333333,"OUT"
"weather6",5,"column335","PR-Sky",0.4,"OUT"
"weather6",6,"column493","CT-VisibilityFeet",0.25,"OUT"
"weather6",7,"column1370","CT-PressureInches",0.208333333333333,"OUT"
"weather6",8,"column2338","PR-WindDirection",1,"OUT"
