0:PR-Product	1:PR-ModelName	2:PR-Price
DVD Camcorder	Sony Handycam® DCR-DVD108 DVD Camcorder	$336
DVD Camcorder	Panasonic VDR-D300 DVD Camcorder	$430
DVD Camcorder	Sony Handycam® HDR-UX5 DVD Camcorder	$699
DVD Camcorder	Sony Handycam® DCR-DVD308 DVD Camcorder	$321
DVD Camcorder	Sony Handycam® DCR-DVD408 DVD Camcorder	$492
DVD Camcorder	Canon DC50 DVD Camcorder	$534
DVD Camcorder	Panasonic VDR-D230 DVD Camcorder	$290
DVD Camcorder	Sony Handycam® DCR-DVD105 DVD Camcorder	$299
DVD Camcorder	Canon DC230 DVD Camcorder	$332
DVD Camcorder	Sony Handycam® DCR-DVD508 DVD Camcorder	$627
DVD Camcorder	Panasonic HDC-DX1 DVD Camcorder	$75
DVD Camcorder	Sony Handycam® HDR-UX1 DVD Camcorder	$699
DVD Camcorder	Hitachi DZ-HS300A DVD Camcorder	$357
DVD Camcorder	Panasonic VDR-D310 DVD Camcorder	$450
DVD Camcorder	Canon DC100 DVD Camcorder	$259
DVD Camcorder	Canon DC220 DVD Camcorder	$310
DVD Camcorder	Canon DC40 DVD Camcorder	$530
DVD Camcorder	Sony Handycam® DCR-DVD505 DVD Camcorder	$659
DVD Camcorder	Hitachi UltraVision DZGX5020A DVD Camcorder	$253
DVD Camcorder	Sony Handycam® DCR-DVD405 DVD Camcorder	$505
DVD Camcorder	Canon DC210 DVD Camcorder	$290
DVD Camcorder	Samsung SC-DC164 DVD Camcorder	$230
DVD Camcorder	Sony Handycam® DCR-DVD305 DVD Camcorder	$344
DVD Camcorder	Canon DC22 DVD Camcorder	$379
DVD Camcorder	Sony Handycam® DCR-DVD205 DVD Camcorder	$330
DVD Camcorder	Sony Handycam DCR-DVD7 DVD Camcorder	$400
DVD Camcorder	Sony Handycam® DCR-DVD403 DVD Camcorder	$490
DVD Camcorder	Sony DCR-DVD608E DVD Camcorder	$386
DVD Camcorder	Panasonic VDR-D100 DVD Camcorder	$308
