"query","column58","column414","column527","column605","column2202","column2516"
"20502","51%","Clear","NULL","231 ft","My House in Bush Hill, Alexandria, VA","ENE"
"33040","78%","Chance of a Thunderstorm","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","10 ft","NULL","NULL"
"90292","100%","Partly Cloudy","NULL","36 ft","Hawthorne & Silver Spur, Rancho Palos Verdes, CA","NULL"
"36130","53%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","0 ft","NULL","NULL"
"85007","29%","Clear","NULL","1049 ft","Coldwater Ridge, Avondale, AZ","NULL"
"06106","59%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","68 ft","APRSWXNET Wolcott CT , Wolcott, CT","SE"
"32399","27%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","144 ft","NULL","NULL"
"46208","25%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","723 ft","Cartersburg, Plainfield, IN","NULL"
"50319","68%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","822 ft","IEM Adel / ADM MS , Adel, IA","NULL"
"66612","64%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","920 ft","NULL","NULL"
