"query","column59","column413","column526","column606","column1683","column2259"
"20502","51%","Clear","NULL","231 ft","SE","My House in Bush Hill, Alexandria, VA"
"33040","78%","Chance of a Thunderstorm","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","10 ft","NULL","NULL"
"90292","100%","Partly Cloudy","NULL","36 ft","West","Hawthorne & Silver Spur, Rancho Palos Verdes, CA"
"36130","53%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","0 ft","NULL","NULL"
"85007","29%","Clear","NULL","1049 ft","West","Coldwater Ridge, Avondale, AZ"
"06106","61%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","68 ft","East","APRSWXNET Wolcott CT , Wolcott, CT"
"32399","27%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","144 ft","NULL","NULL"
"46208","24%","Clear","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","723 ft","SSE","Cartersburg, Plainfield, IN"
"50319","69%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","822 ft","SW","IEM Adel / ADM MS , Adel, IA"
"66612","64%","Partly Cloudy","<span class=""nobr""><span class=""b"">79</span>&nbsp;&#176;F</span>
  /
  <span","920 ft","ESE","NULL"
