0:PR-Place	1:PR-AirportName	2:PR-Latitude	3:PR-Longitude	4:PR-LatitudeDMS	5:PR-LongitudeDMS	6:PR-LatitudeDMS-D	7:PR-LongitudeDMS-D	8:PR-ZipCode5Digit	9:PR-ZipCode5Plus4Digit	10:CT-Street:PR-StreetNumber	10:CT-Street:PR-StreetNumberDirection	10:CT-Street:PR-StreetName	10:CT-Street:PR-StreetType	10:CT-Street:PR-StreetDirection	11:PR-City	11:PR-State-Abbr	12:PR-StateName	13:CT-DistanceMiles:PR-QuantitativeValue	13:CT-DistanceMiles:PR-UnitMiles	14:CT-DistanceMiles:PR-QuantitativeValue
Amsterdam	NULL	40.4667	-80.9167	40  28  00  N	080  55  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amsterdam	NULL	37.4167	-79.9	37  25  00  N	079  54  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amsterdam Bay	NULL	47.15	-122.7167	47  09  00  N	122  43  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amsterdam	NULL	41.1333	-80.1333	41  08  00  N	080  08  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amsterdam, Ile	NULL	-37.8667	77.5333	37  52  00  S	077  32  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amsterdam Rijn Kanaal	NULL	51.95	5.3333	51  57  00  N	005  20  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Buffalo	NULL	42.8833	-78.8667	42  53  00  N	078  52  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Double Run	NULL	39.05	-75.5667	39  03  00  N	075  34  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
New Amsterdam	NULL	38.1	-86.2667	38  06  00  N	086  16  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Galway Lake	NULL	43.0167	-74.0833	43  01  00  N	074  05  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
New Amsterdam	NULL	6.3	-57.5	06  18  00  N	057  30  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
New Amsterdam	NULL	43.9667	-91.3	43  58  00  N	091  18  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
New York	NULL	40.7	-74	40  42  00  N	074  00  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alpine	NULL	32.8333	-116.75	32  50  00  N	116  45  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Agathla Peak	NULL	36.8167	-110.2167	36  49  00  N	110  13  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan	NULL	34.45	-120.0333	34  27  00  N	120  02  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitán Aracena, Isla	NULL	-54.1667	-71.3333	54  10  00  S	071  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan	NULL	30.05	-91.9667	30  03  00  N	091  58  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan	NULL	33.5333	-105.5667	33  32  00  N	105  34  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitán Bermúdez	NULL	-32.8167	-60.7167	32  49  00  S	060  43  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan, Cañada Del	NULL	34.5167	-119.9833	34  31  00  N	119  59  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Canyon, E'l	NULL	33.2333	-110.7833	33  14  00  N	110  47  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Hayes Tank	NULL	33.3333	-110.7333	33  20  00  N	110  44  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Grande Indian Reservation	NULL	32.9	-116.7167	32  54  00  N	116  43  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Creek	NULL	45.9833	-114.4	45  59  00  N	114  24  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Hill	NULL	36.6667	-104.7667	36  40  00  N	104  46  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Hill	NULL	36.6667	-104.7667	36  40  00  N	104  46  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan, Lake	NULL	46	-114.45	46  00  00  N	114  27  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
"Capitan Mine, El"""	NULL	33.2	-110.8	33  12  00  N	110  48  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitán Meza	NULL	-26.9167	-55.2167	26  55  00  S	055  13  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
"Capitan Mountain, El"""	NULL	33.2	-110.75	33  12  00  N	110  45  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Number One	NULL	33.55	-105.5833	33  33  00  N	105  35  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Mountains	NULL	33.6	-105.35	33  36  00  N	105  21  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Number Two	NULL	33.55	-105.5833	33  33  00  N	105  35  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Peak	NULL	33.5833	-105.25	33  35  00  N	105  15  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitán Sarmiento	NULL	-34.1667	-59.8	34  10  00  S	059  48  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitán Pablo Lagerenza	NULL	-19.9167	-60.7333	19  55  00  S	060  44  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Capitan Uranium Company Claims	NULL	33.65	-105.4667	33  39  00  N	105  28  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Beirne	NULL	33.8833	-93.2	33  53  00  N	093  12  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Big York Lake	NULL	35.1	-91.1667	35  06  00  N	091  10  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bellevue	NULL	41.2667	-82.8333	41  16  00  N	082  50  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Cambrian and New York Mine	NULL	39.5333	-117.05	39  32  00  N	117  03  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Brookline	NULL	37.15	-93.4167	37  09  00  N	093  25  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Brooklyn Gulch	NULL	39.0333	-106.65	39  02  00  N	106  39  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Cape York	NULL	65.4	-167.45	65  24  00  N	167  27  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Charley York Hollow	NULL	28.4667	-98.2333	28  28  00  N	098  14  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Creed	NULL	38.3833	-81.55	38  23  00  N	081  33  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Curry Lake	NULL	40	-90.4667	40  00  00  N	090  28  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Duque de York, Isla	NULL	-50.6667	-75.3333	50  40  00  S	075  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Duke of York Bay	NULL	65.4167	-84.8333	65  25  00  N	084  50  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
East New York	NULL	40.6667	-73.8667	40  40  00  N	073  52  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
East York	NULL	39.9667	-76.6833	39  58  00  N	076  41  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
East York	NULL	43.7167	-79.3333	43  43  00  N	079  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
East York Cave	NULL	39.95	-76.7	39  57  00  N	076  42  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Elm Grove	NULL	39.0333	-83.15	39  02  00  N	083  09  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Erie Canal	NULL	43.1	-76.4167	43  06  00  N	076  25  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Florence	NULL	38.7833	-84.9167	38  47  00  N	084  55  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
"Glen Echo Pond"""	NULL	42.15	-71.0833	42  09  00  N	071  05  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hjorth Canyon	NULL	39.85	-111.5	39  51  00  N	111  30  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
James York Branch	NULL	36.8667	-83.5167	36  52  00  N	083  31  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Abeytas	NULL	34.4667	-106.8	34  28  00  N	106  48  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Abra de los Cerros	NULL	35.5833	-107.0833	35  35  00  N	107  05  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Acequia de los Pinos	NULL	35.6667	-105.9667	35  40  00  N	105  58  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Acequia de los Ranchitos	NULL	35.2	-105.15	35  12  00  N	105  09  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Adelino	NULL	34.7	-106.7167	34  42  00  N	106  43  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Agua de los Juanes	NULL	35.1333	-105.15	35  08  00  N	105  09  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Ahogados, Arroyo de los	NULL	-33.5667	-56.4833	33  34  00  S	056  29  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Ajuelos, Arroyo de los	NULL	36.0333	-105.9333	36  02  00  N	105  56  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamitos, Cañon de los	NULL	34.8833	-106.2667	34  53  00  N	106  16  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamitos, Rito de los	NULL	35.5	-105.6	35  30  00  N	105  36  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamo Canyon	NULL	35.9167	-106.55	35  55  00  N	106  33  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamitos Canyon	NULL	35.65	-105.75	35  39  00  N	105  45  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañada De Los	NULL	34.7	-118.8	34  42  00  N	118  48  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Arroyo los	NULL	34.25	-106.75	34  15  00  N	106  45  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Arroyo de los	NULL	36.0333	-105.9333	36  02  00  N	105  56  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañada los	NULL	35.05	-107.1667	35  03  00  N	107  10  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañada los	NULL	36.2	-106.1167	36  12  00  N	106  07  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañada los	NULL	35.6167	-105.85	35  37  00  N	105  51  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañada los	NULL	36.0667	-105.6667	36  04  00  N	105  40  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañon de los	NULL	35.5167	-107.7833	35  31  00  N	107  47  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañon de los	NULL	36.4667	-106.0667	36  28  00  N	106  04  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos, Cañon los	NULL	35.7667	-104.4167	35  46  00  N	104  25  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alamos Canyon, Los	NULL	35.8833	-106.3833	35  53  00  N	106  23  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alisos, Cañada De Los	NULL	34.7667	-120.1333	34  46  00  N	120  08  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	45.8333	48	45  50  00  N	048  00  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
North Branch Volga River	NULL	42.95	-91.9	42  57  00  N	091  54  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Little Volga River	NULL	42.75	-91.7833	42  45  00  N	091  47  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	42.9167	-92.0333	42  55  00  N	092  02  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	38.7833	-85.5167	38  47  00  N	085  31  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	57.9667	38.3667	57  58  00  N	038  22  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	42.8	-91.5333	42  48  00  N	091  32  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	35.7333	-82.6667	35  44  00  N	082  40  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	37.8667	-82.8667	37  52  00  N	082  52  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	44.3167	-96.9167	44  19  00  N	096  55  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	39.0667	-80.1333	39  04  00  N	080  08  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga	NULL	31.05	-95.5667	31  03  00  N	095  34  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga-Baltiyskiy Kanal	NULL	59	38	59  00  00  N	038  00  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volga Island	NULL	57.0333	-135.3333	57  02  00  N	135  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Volgo-Donskoy Kanal Imeni Vladimira Il'icha Lenina	NULL	48.6667	43.7833	48  40  00  N	043  47  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bluestem	NULL	47.5167	-118.1167	47  31  00  N	118  07  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Burning Moscow Mine	NULL	39.4333	-115.9833	39  26  00  N	115  59  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Burning Moscow Mine	NULL	35.4667	-118.2667	35  28  00  N	118  16  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Burning Moscow Spring	NULL	35.45	-118.25	35  27  00  N	118  15  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Centerville	NULL	39.6333	-81.6167	39  38  00  N	081  37  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Dalton	NULL	40.7833	-81.6833	40  47  00  N	081  41  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
East Moscow Mountain	NULL	46.8	-116.8333	46  48  00  N	116  50  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Kansas City	NULL	39.0833	-94.5667	39  05  00  N	094  34  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Leicester	NULL	42.7667	-77.8833	42  46  00  N	077  53  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	55.75	37.7	55  45  00  N	037  42  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	32.4333	-87.9833	32  26  00  N	087  59  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	46.7167	-116.9833	46  43  00  N	116  59  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	34.1333	-91.7833	34  08  00  N	091  47  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	37.4	-89.05	37  24  00  N	089  03  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	39.4833	-85.55	39  29  00  N	085  33  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	41.5667	-91.0667	41  34  00  N	091  04  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	37.3167	-101.2	37  19  00  N	101  12  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	45.0667	-69.8833	45  04  00  N	069  53  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	36.6	-89.0333	36  36  00  N	089  02  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	39.5333	-79	39  32  00  N	079  00  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	43.7	-93.0833	43  42  00  N	093  05  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	42.0333	-84.5	42  02  00  N	084  30  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	32.7	-88.8	32  42  00  N	088  48  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Moscow	NULL	39.15	-94.5333	39  09  00  N	094  32  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aux Sable Creek	NULL	41.5333	-88.3167	41  32  00  N	088  19  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alice, Lake	NULL	48.3333	-99.1167	48  20  00  N	099  07  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aux Sable	NULL	41.3833	-88.3167	41  23  00  N	088  19  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aux Sable Island	NULL	41.3667	-88.3333	41  22  00  N	088  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Auxy	NULL	46.9333	4.4167	46  56  00  N	004  25  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Barques, Point aux	NULL	45.7833	-86.3333	45  47  00  N	086  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bayou aux Carpes	NULL	29.7833	-90.0833	29  47  00  N	090  05  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Barques, Pointe aux	NULL	44.0667	-82.95	44  04  00  N	082  57  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Betsie River	NULL	44.5833	-85.7833	44  35  00  N	085  47  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bouxières-aux-Dames	NULL	48.75	6.1667	48  45  00  N	006  10  00  E	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Boeuf River	NULL	33.35	-91.3333	33  21  00  N	091  20  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Boeuf Island	NULL	38.6167	-91.1333	38  37  00  N	091  08  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Cap-aux-Meules	NULL	47.3833	-61.8667	47  23  00  N	061  52  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Cap aux Meules, Ile du	NULL	47.3833	-61.9167	47  23  00  N	061  55  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Carrières, Pointe aux	NULL	45.5167	-73.9	45  31  00  N	073  54  00  W	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
