time,location,temperature,tempinf,sky,windspeed,windspeedinmph,winddir,visibility,visibilityinmi,zipin
03:25 p.m.,"Linden, NJ",90°F,90,Partly Cloudy,14 mph,14,SSE,8.0 miles,8,7036
12:25 p.m.,"North Bend, OR",58°F,58,Partly Cloudy,12 mph,12,W,10.0 miles,10,97459
02:25 p.m.,"Gadsden, AL",77°F,77,Thunder,11 mph,11,W,10.0 miles,10,35903
03:25 p.m.,"Boston, MA",68°F,68,Sunny,9 mph,9,ESE,10.0 miles,10,2120
01:25 p.m.,"Salt Lake City, UT",45°F,45,Rain Shower,8 mph,8,NW,8.0 miles,8,84102
03:25 p.m.,"Salem, VA",88°F,88,Partly Cloudy,7 mph,7,SW,10.0 miles,10,24153
03:25 p.m.,"Manchester, CT",84°F,84,Sunny,20 mph,20,S,8.0 miles,8,6040
02:25 p.m.,"Adrian, MN",85°F,85,Sunny,15 mph,15,SSW,10.0 miles,10,56110
12:25 p.m.,"Coeur d' Alene, ID",57°F,57,Sunny,4 mph,4,WNW,10.0 miles,10,83814
03:25 p.m.,"Washington, DC",86°F,86,Partly Cloudy,13 mph,13,S,8.0 miles,8,20007
02:25 p.m.,"Evanston, IL",75°F,75,Fair,17 mph,17,W,10.0 miles,10,60201
12:25 p.m.,"Milton, WA",58°F,58,Mostly Cloudy,6 mph,6,NNW,10.0 miles,10,98354
08:56 a.m.,"Kailua, HI",80°F,80,Mostly Cloudy,9 mph,9,E,7.0 miles,7,96734
02:25 p.m.,"Merna, NE",84°F,84,Sunny and Windy,30 mph,30,SSE,10.0 miles,10,68856
02:25 p.m.,"Jackson, MS",75°F,75,Cloudy,1 mph,1,SE,6.0 miles,6,39212
02:25 p.m.,"Rock Rapids, IA",87°F,87,Sunny,18 mph,18,SSW,10.0 miles,10,51246
03:25 p.m.,"Liberty, KY",90°F,90,Sunny,5 mph,5,W,10.0 miles,10,42539
02:25 p.m.,"Opelika, AL",80°F,80,Thunder in the Vicinity,5 mph,5,ESE,10.0 miles,10,36801
02:25 p.m.,"Houston, TX",93°F,93,Partly Cloudy,17 mph,17,SSE,10.0 miles,10,77041
01:25 p.m.,"Rapid City, SD",85°F,85,Partly Cloudy,19 mph,19,SSE,10.0 miles,10,57701
02:25 p.m.,"Shawnee Mission, KS",84°F,84,Partly Cloudy,14 mph,14,S,9.0 miles,9,66216
03:25 p.m.,"Palmyra, NY",86°F,86,Mostly Cloudy,14 mph,14,SW,8.0 miles,8,14522
03:25 p.m.,"Arlington, VA",86°F,86,Partly Cloudy,13 mph,13,S,8.0 miles,8,22204
03:25 p.m.,"Miami Beach, FL",79°F,79,Cloudy,2 mph,2,ESE,10.0 miles,10,33160
03:25 p.m.,"Middle River, MD",85°F,85,Fair,11 mph,11,SE,5.0 miles,5,21220
02:25 p.m.,"Nashville, TN",75°F,75,Thunder,6 mph,6,E,10.0 miles,10,37201
03:25 p.m.,"Charlotte, NC",88°F,88,Partly Cloudy,6 mph,6,SSW,7.0 miles,7,28202
02:25 p.m.,"Alexandria, LA",90°F,90,Partly Cloudy,6 mph,6,S,10.0 miles,10,71302
12:25 p.m.,"Benton City, WA",64°F,64,Partly Cloudy,6 mph,6,WSW,10.0 miles,10,99320
12:25 p.m.,"Dayton, NV",56°F,56,Cloudy,27 mph,27,W,10.0 miles,10,89403
02:25 p.m.,"Oklahoma City, OK",88°F,88,Partly Cloudy,19 mph,19,S,9.0 miles,9,73116
01:25 p.m.,"Evanston, WY",40°F,40,Cloudy,16 mph,16,W,10.0 miles,10,82930
02:25 p.m.,"Southaven, MS",75°F,75,Cloudy,10 mph,10,E,10.0 miles,10,38671
03:25 p.m.,"Greenwood, DE",97°F,97,Sunny,5 mph,5,SSW,7.0 miles,7,19950
03:25 p.m.,"Plantsville, CT",83°F,83,Sunny,20 mph,20,SSW,8.0 miles,8,6479
12:25 p.m.,"Tucson, AZ",89°F,89,Sunny,8 mph,8,W,10.0 miles,10,85741
02:25 p.m.,"Cottonwood Falls, KS",75°F,75,Sunny,13 mph,13,SSE,10.0 miles,10,66845
